25 mph,East Bloomingdale Road
25 mph,Westview Lane
25 mph,West Birchwood Avenue
35 mph,East Geneva Road
25 mph,Southport Avenue
25 mph,41st Street
25 mph,Linden Street
25 mph,South Monroe Street
25 mph,East Center Street
15 mph,Williamsburg Court
35 mph,Janes Avenue
25 mph,Meadowview Court
25 mph,Bob O Link Road
25 mph,East Kenilworth Avenue
25 mph,Gowdey Road
25 mph,Forestview Lane
25 mph,Haverhill Drive
25 mph,West Benton Avenue
30 mph,Fairview Avenue
25 mph,Middlebury Avenue
25 mph,Beller Drive
25 mph,Jason Court
25 mph,Adamsway Drive
40 mph,South Winfield Road
15 mph,Newport Lane
25 mph,Mapleside Court
25 mph,Evans Avenue
25 mph,Saratoga Drive
55 mph,Adlai Stevenson Expressway
45 mph,Ferry Road
40 mph,West Geneva Road
25 mph,North Maple Street
15 mph,Patrick Henry Square
30 mph,Falcon Drive
25 mph,South Bruner Street
25 mph,Clover Ridge Lane
25 mph,West Bryn Mawr Avenue
45 mph,North York Road
40 mph,North York Road
25 mph,Brooklyn Drive
15 mph,Pontiac Drive
15 mph,Pontiac Drive
25 mph,Parkhill Circle
40 mph,Bloomingdale Road
40 mph,Bloomingdale Road
25 mph,Brookside Lane
25 mph,Oakleaf Drive
25 mph,West Division Street
25 mph,East Orchard Street
25 mph,Mourning Dove Court
25 mph,North Washington Street
25 mph,Frontage Road
35 mph,West Roosevelt Road
15 mph,Lacey Road
25 mph,36th Street
15 mph,Pontiac Court
25 mph,Riverstone Drive
25 mph,Regency Drive
25 mph,Millers Crossing
35 mph,Warrenville Road
25 mph,Oakleaf Court
30 mph,North Oakhurst Drive
25 mph,Walters Lane
25 mph,East 13th Place
25 mph,Dunham Road
25 mph,Dunham Road
25 mph,Willow Court
25 mph,Seeley Avenue
45 mph,Munger Road
25 mph,West 8th Street
20 mph,Rockwell Street
45 mph,IL 53
30 mph,Cheshire Drive
25 mph,Wildspring Court
25 mph,Foxworth Court
25 mph,Thurlow Street
15 mph,n/a
25 mph,Oakwood Avenue
30 mph,Orchard Road
35 mph,Main Street
35 mph,Main Street
40 mph,Main Street
20 mph,Highland Parkway
25 mph,South Stough Street
25 mph,98th Street
25 mph,98th Street
25 mph,East 18th Street
25 mph,Whitney Road
25 mph,Westmoore Court
25 mph,Oakmont Drive
25 mph,Casey Court
30 mph,Quincy Avenue
5 mph,Forest Drive
25 mph,Panorama Court
30 mph,South Prospect Avenue
25 mph,West Kenilworth Avenue
25 mph,White Eagle Drive
25 mph,White Eagle Drive
30 mph,Molitor Road
25 mph,35th Street
25 mph,35th Street
25 mph,Calumet Avenue East
25 mph,Bruce Lane
45 mph,South Neltnor Boulevard
55 mph,Roosevelt Road
25 mph,Harvest Court
25 mph,Beller Road
25 mph,Everglade Avenue
25 mph,Linden Circle
25 mph,Coral Berry Lane
40 mph,North Aurora Road
25 mph,Carpenter Street
25 mph,North Walnut Street
25 mph,Brookshire Court
25 mph,Kendridge Lane
25 mph,Harlstone Drive
25 mph,Downers Drive
25 mph,Downers Drive
25 mph,Sterling Road
25 mph,Willow Street
30 mph,West Bloomingdale Road
25 mph,West Bloomingdale Road
15 mph,Palace Green Lane
25 mph,98th Place
30 mph,West 5th Avenue
45 mph,Oak Brook Road
25 mph,The Pines Street
25 mph,Deerwood Court
25 mph,Norfolk Court
25 mph,O'Brien Drive
25 mph,Liberty Boulevard
25 mph,Thornwood Court
35 mph,Park Boulevard
25 mph,Waterfall Street
25 mph,Forestview Court
35 mph,Greene Road
35 mph,North Bloomingdale Road
25 mph,Goldenwood Court
25 mph,Pleasantdale Drive
25 mph,Vaughn Circle
25 mph,Fairoak Road
25 mph,West Center Street
30 mph,Ridge Road
30 mph,Hibbard Road
25 mph,Isabella Street
30 mph,Chicago Avenue
55 mph,n/a
25 mph,6th Street
25 mph,Laurel Avenue
35 mph,West Dempster Street
20 mph,Lake Shore Boulevard
35 mph,Mannheim Road
55 mph,Irving Park Road
20 mph,Raymond Drive
30 mph,West Argyle Street
30 mph,West Winona Street
30 mph,West Eastwood Avenue
45 mph,Kennedy Expressway
45 mph,Kennedy Expressway
45 mph,Kennedy Expressway
40 mph,North Lake Shore Drive
40 mph,North Lake Shore Drive
40 mph,North Lake Shore Drive
30 mph,North Damen Avenue
30 mph,North Sheridan Road
40 mph,North Lake Shore Drive
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
